2026-09-20 01:27:29 | 3 | LOGOUT | 3
2026-09-20 01:27:44 | 1 | LOGIN | 1
2026-09-20 01:28:43 | 1 | ANALYZE | api_call
2026-09-20 01:42:58 | 1 | LOGOUT | 1
2026-09-20 01:43:11 | 1 | LOGIN | 1
2026-09-20 01:43:20 | 1 | LOGOUT | 1
2026-09-20 01:43:24 | 3 | LOGIN | 3
2026-09-20 01:44:07 | 3 | ANALYZE | api_call
2026-09-20 01:45:07 | 3 | MODEL | api_call
2026-09-20 01:50:33 | 3 | TAX | api_call
2026-09-20 01:52:57 | 3 | LOGOUT | 3
2026-09-20 01:53:04 | 3 | LOGIN | 3
2026-09-20 01:53:10 | 3 | LOGOUT | 3
2026-09-20 01:53:16 | 1 | LOGIN | 1
2026-09-20 01:54:06 | 1 | ANALYZE | api_call
2026-09-20 01:55:24 | 1 | MODEL | api_call
2026-09-20 02:05:25 | 1 | SAVE_SUBMISSION | 5
2026-09-20 02:06:20 | 1 | ANALYZE | api_call
2026-09-20 02:12:41 | 1 | SAVE_SUBMISSION | 6
2026-09-20 02:12:43 | 1 | SAVE_SUBMISSION | 6
2026-09-20 02:12:46 | 1 | SAVE_SUBMISSION | 6
2026-09-20 02:12:54 | 1 | SAVE_SUBMISSION | 6
2026-09-20 02:13:56 | 1 | ANALYZE | api_call
2026-09-20 02:23:05 | 1 | ANALYZE | api_call
2026-09-20 02:24:29 | 1 | MODEL | api_call
2026-09-20 02:25:41 | 1 | SAVE_SUBMISSION | 7
2026-09-20 02:41:40 | 1 | LOGOUT | 1
2026-09-20 02:41:44 | 3 | LOGIN | 3
2026-09-20 02:42:57 | 3 | ANALYZE | api_call
2026-09-20 02:45:28 | 3 | CUSHION_ASSESSMENT | api_call
2026-09-20 02:48:55 | 3 | ANALYZE | api_call
2026-09-20 02:49:57 | 3 | CUSHION_ASSESSMENT | api_call
2026-09-20 02:58:31 | 3 | ASK_FOUNDER | api_call
2026-09-20 06:47:24 | 1 | LOGOUT | 1
2026-09-20 06:47:31 | 1 | LOGIN | 1
2026-09-20 07:08:25 | 1 | ANALYZE | api_call
2026-09-20 07:10:23 | 1 | TAX | api_call
2026-09-20 07:17:56 | 1 | SAVE_SUBMISSION | 8
2026-09-20 07:18:02 | 1 | SAVE_SUBMISSION | 8
2026-09-20 07:20:58 | 2 | SAVE_SUBMISSION | 9
2026-09-20 07:40:25 | 1 | ANALYZE | api_call
2026-09-20 07:41:39 | 1 | MODEL | api_call
2026-09-20 07:44:15 | 1 | TAX | api_call
2026-09-20 08:00:14 | 1 | ANALYZE | api_call
2026-09-20 08:00:31 | 1 | MODEL | api_call
2026-09-20 08:01:09 | 1 | ANALYZE | api_call
2026-09-20 08:01:44 | 1 | TAX | api_call
2026-09-20 08:04:34 | 1 | ANALYZE | api_call
2026-09-20 08:06:24 | 1 | LOGOUT | 1
2026-09-20 08:06:30 | 1 | LOGIN | 1
2026-09-20 08:06:52 | 1 | ANALYZE | api_call
2026-09-20 08:15:05 | 1 | ANALYZE | api_call
2026-09-20 08:16:03 | 1 | MODEL | api_call
2026-09-20 08:18:16 | 1 | SAVE_SUBMISSION | 10
2026-09-20 08:18:54 | 1 | TAX | api_call
2026-09-20 08:19:30 | 1 | CUSHION_ASSESSMENT | api_call
2026-09-20 08:19:37 | 1 | SAVE_SUBMISSION | 10
2026-09-20 08:21:39 | 1 | SAVE_SUBMISSION | 10
2026-09-20 08:36:44 | 1 | LOGIN | 1
2026-09-20 08:37:11 | 1 | ANALYZE | api_call
2026-09-20 08:37:22 | 1 | SAVE_SUBMISSION | 11
2026-09-20 08:37:42 | 1 | MODEL | api_call
2026-09-20 08:40:08 | 1 | LOGOUT | 1
2026-09-20 08:40:12 | 1 | LOGIN | 1
2026-09-20 08:40:31 | 1 | ANALYZE | api_call
2026-09-20 08:41:12 | 1 | MODEL | api_call
2026-09-20 08:42:19 | 1 | TAX | api_call
2026-09-20 08:45:19 | 4 | SIGNUP | 4
2026-09-20 08:45:22 | 4 | ONBOARDING_COMPLETE | 4
2026-09-20 08:45:56 | 4 | ANALYZE | api_call
2026-09-20 08:46:51 | 4 | MODEL | api_call
2026-09-20 08:47:35 | 4 | TAX | api_call
2026-09-20 08:51:27 | 5 | SIGNUP | 5
2026-09-20 08:51:30 | 5 | ONBOARDING_COMPLETE | 5
2026-09-20 08:51:54 | 5 | ANALYZE | api_call
2026-09-20 08:51:55 | 5 | SAVE_SUBMISSION | 12
2026-09-20 08:53:31 | 5 | CUSHION_ASSESSMENT | api_call
2026-09-20 08:55:16 | 5 | TAX | api_call
2026-09-20 08:58:35 | 5 | SAVE_SUBMISSION | 12
2026-09-20 08:59:25 | 5 | TAX | api_call
2026-09-20 09:06:47 | 6 | SIGNUP | 6
2026-09-20 09:06:49 | 6 | ONBOARDING_COMPLETE | 6
2026-09-20 09:09:12 | 6 | ANALYZE | api_call
2026-09-20 09:09:13 | 6 | SAVE_SUBMISSION | 13
2026-09-20 09:09:45 | 6 | MODEL | api_call
2026-09-20 09:12:14 | 6 | TAX | api_call
2026-09-20 09:13:21 | 6 | SAVE_SUBMISSION | 13
2026-09-20 09:13:53 | 6 | DELETE_SUBMISSION | 13
2026-09-20 09:13:55 | 6 | SAVE_SUBMISSION | 13
2026-09-20 10:24:38 | 1 | SIGNUP | 1
2026-09-20 10:24:39 | 1 | ONBOARDING_COMPLETE | 1
2026-09-20 10:25:08 | 1 | ANALYZE | api_call
